count	class	samples
1	md:my-20	<div.mx-auto.my-16.mt-16.sm:mt-0.w-full.lg:my-12.md:my-20.md:max-w-4xl> "Enjoy free shipping on all ordersEasy Product Replacement Available!No cost EMI available on all maj"
1	md:pt-3	<div.w-full.px-4.md:px-6.lg:px-8.pt-2.md:pt-3> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin"
1	md:px-36	<div.md:max-w-4.5xl.mx-auto.mb-10.w-auto.px-0.text-center.md:px-36> "Popular ProductsDiscover the latest trends! Fresh products just added—shop new styles, tech, and ess"
1	md:py-12	<div.mx-auto.w-full.px-4.md:px-6.lg:px-8.py-10.md:py-12.bg-white> "Enjoy free shipping on all ordersEasy Product Replacement Available!No cost EMI available on all maj"
1	md:right-6	<button.absolute.right-4.md:right-6.lg:right-8.top-1/2.-translate-y-1/2.z-20.w-10>
1	md:row-span-2	<div.md:col-span-4.md:row-span-2> "xcvvxv$25,458.00"
1	md:text-2xl	<h2.font-archivo.text-xl.md:text-2xl.font-semibold.text-neutral-900.dark:text-white> "All Products"
1	md:text-4xl	<h1.mb-4.font-outfit.text-xl.md:text-4xl.font-semibold.text-black.dark:text-white> "Popular Products"
1	md:text-lg	<button.relative.flex.w-full.text-base.md:text-lg.cursor-pointer.font-archivo.font-semibold> "Subscribe"
1	md:top-auto	<div.fixed.left-1/2.z-[999].w-[80%].-translate-x-1/2.sm:max-w-md.top-4.bottom-auto>
1	min-h-[calc(100vh-580px)]	<div.mx-auto.min-h-[calc(100vh-580px)].w-full.bg-white.dark:bg-neutral-950> "Popular CategoriesPhoneSmartphonesHeadphonesEntertainmentAppliancesPopular ProductsDiscover the late"
1	min-h-screen	<body.min-h-screen.font-archivo.text-foreground.bg-white.dark:bg-neutral-950.antialiased> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin"
1	mt-[58px]	<section.w-full.overflow-x-clip.mt-[58px].py-[70px].bg-[#F5F7F9].dark:bg-neutral-900> "Popular CategoriesPhoneSmartphonesHeadphonesEntertainmentAppliances"
1	mt-15	<section.relative.w-full.mt-15>
1	mt-16	<div.mx-auto.my-16.mt-16.sm:mt-0.w-full.lg:my-12.md:my-20.md:max-w-4xl> "Enjoy free shipping on all ordersEasy Product Replacement Available!No cost EMI available on all maj"
1	mt-8	<form.mt-8.lg:mt-0.w-full.relative> "Stay UpdatedGet exclusive offers, new arrivals, and more.Subscribe"
1	mx-0	<div.relative.shrink-0.overflow-hidden.rounded-full.outline-solid.outline-transparent.group-data-[focus-visible=true]:z-10.group-data-[focus-visible=true]:ring-2>
1	mx-2	<div.mx-2.flex.items-center.justify-center.gap-2> "Subscribe"
1	mx-6	<div.mx-6.border-b.border-neutral-100.dark:border-neutral-800>
1	my-16	<div.mx-auto.my-16.mt-16.sm:mt-0.w-full.lg:my-12.md:my-20.md:max-w-4xl> "Enjoy free shipping on all ordersEasy Product Replacement Available!No cost EMI available on all maj"
1	opacity-[0.0001]	<input.font-inherit.text-[100%].leading-[1.15].m-0.p-0.overflow-visible.box-border.absolute>
1	outline-none	<label.group.relative.max-w-fit.touch-none.tap-highlight-transparent.select-none.flex.size-9>
1	outline-solid	<div.relative.shrink-0.overflow-hidden.rounded-full.outline-solid.outline-transparent.group-data-[focus-visible=true]:z-10.group-data-[focus-visible=true]:ring-2>
1	outline-transparent	<div.relative.shrink-0.overflow-hidden.rounded-full.outline-solid.outline-transparent.group-data-[focus-visible=true]:z-10.group-data-[focus-visible=true]:ring-2>
1	overflow-visible	<input.font-inherit.text-[100%].leading-[1.15].m-0.p-0.overflow-visible.box-border.absolute>
1	overflow-x-auto	<div.flex.gap-4.md:gap-5.overflow-x-auto.scrollbar-hide.snap-x.snap-mandatory.pb-2> "PhoneSmartphonesHeadphonesEntertainmentAppliances"
1	overflow-x-clip	<section.w-full.overflow-x-clip.mt-[58px].py-[70px].bg-[#F5F7F9].dark:bg-neutral-900> "Popular CategoriesPhoneSmartphonesHeadphonesEntertainmentAppliances"
1	pr-12	<input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border>
1	pt-2	<div.w-full.px-4.md:px-6.lg:px-8.pt-2.md:pt-3> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin"
1	py-[70px]	<section.w-full.overflow-x-clip.mt-[58px].py-[70px].bg-[#F5F7F9].dark:bg-neutral-900> "Popular CategoriesPhoneSmartphonesHeadphonesEntertainmentAppliances"
1	py-5	<div.flex.items-center.justify-between.px-6.py-5.border-b.border-neutral-100.dark:border-neutral-800> "Search"
1	py-6	<div.flex.items-center.justify-between.px-6.py-6> "Shopping Cart"
1	py-8	<div.mx-auto.my-16.mt-16.sm:mt-0.w-full.lg:my-12.md:my-20.md:max-w-4xl> "Enjoy free shipping on all ordersEasy Product Replacement Available!No cost EMI available on all maj"
1	right-1	<button.md:hidden.absolute.right-1.top-1/2.-translate-y-1/2.z-10.flex.h-10>
1	right-2	<button.absolute.right-2.top-1/2.-translate-y-1/2.p-2.text-neutral-400.hover:text-neutral-600.dark:hover:text-neutral-300>
1	right-4	<button.absolute.right-4.md:right-6.lg:right-8.top-1/2.-translate-y-1/2.z-20.w-10>
1	rotate-[360deg]	<div.relative.shrink-0.overflow-hidden.rounded-full.outline-solid.outline-transparent.group-data-[focus-visible=true]:z-10.group-data-[focus-visible=true]:ring-2>
1	scale-100	<div.absolute.inset-0.transition-all.duration-700.ease-in-out.opacity-100.z-10.scale-100>
1	scrollbar-hide	<div.flex.gap-4.md:gap-5.overflow-x-auto.scrollbar-hide.snap-x.snap-mandatory.pb-2> "PhoneSmartphonesHeadphonesEntertainmentAppliances"
1	select-none	<label.group.relative.max-w-fit.touch-none.tap-highlight-transparent.select-none.flex.size-9>
1	shadow-lg	<nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin"
1	size-9	<label.group.relative.max-w-fit.touch-none.tap-highlight-transparent.select-none.flex.size-9>
1	sm:grid-cols-3	<ul.m-0.grid.grid-cols-2.gap-3.md:gap-4.lg:gap-5.p-0.sm:grid-cols-3> "xcvvxv(0)$25,458.00Premium Smartphone Xenon(0)$540.00Elite Sound Earphones(0)$345.00The Ultimate 256"
1	sm:max-w-md	<div.fixed.left-1/2.z-[999].w-[80%].-translate-x-1/2.sm:max-w-md.top-4.bottom-auto>
1	sm:mt-0	<div.mx-auto.my-16.mt-16.sm:mt-0.w-full.lg:my-12.md:my-20.md:max-w-4xl> "Enjoy free shipping on all ordersEasy Product Replacement Available!No cost EMI available on all maj"
1	snap-mandatory	<div.flex.gap-4.md:gap-5.overflow-x-auto.scrollbar-hide.snap-x.snap-mandatory.pb-2> "PhoneSmartphonesHeadphonesEntertainmentAppliances"
1	snap-x	<div.flex.gap-4.md:gap-5.overflow-x-auto.scrollbar-hide.snap-x.snap-mandatory.pb-2> "PhoneSmartphonesHeadphonesEntertainmentAppliances"
1	sr-only	<span.sr-only> "Go to homepage"
1	svelte-95aucy	<div.dl-input-translation-container.svelte-95aucy>
1	tap-highlight-transparent	<label.group.relative.max-w-fit.touch-none.tap-highlight-transparent.select-none.flex.size-9>
1	text-[100%]	<input.font-inherit.text-[100%].leading-[1.15].m-0.p-0.overflow-visible.box-border.absolute>
1	text-black	<h1.mb-4.font-outfit.text-xl.md:text-4xl.font-semibold.text-black.dark:text-white> "Popular Products"
1	text-black/60	<p.text-sm.md:text-base.font-normal.text-black/60.dark:text-neutral-300> "Discover the latest trends! Fresh products just added—shop new styles, tech, and essentials before t"
1	text-foreground	<body.min-h-screen.font-archivo.text-foreground.bg-white.dark:bg-neutral-950.antialiased> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin"
1	text-lg	<h2.text-lg.font-bold.text-neutral-900.dark:text-white> "Search"
1	to-rose-100	<div.group.relative.w-full.overflow-hidden.bg-gradient-to-br.from-sky-100.via-orange-50.to-rose-100>
1	top-4	<div.fixed.left-1/2.z-[999].w-[80%].-translate-x-1/2.sm:max-w-md.top-4.bottom-auto>
1	touch-none	<label.group.relative.max-w-fit.touch-none.tap-highlight-transparent.select-none.flex.size-9>
1	tracking-wide	<button.relative.flex.w-full.text-base.md:text-lg.cursor-pointer.font-archivo.font-semibold> "Subscribe"
1	via-orange-50	<div.group.relative.w-full.overflow-hidden.bg-gradient-to-br.from-sky-100.via-orange-50.to-rose-100>
1	w-[80%]	<div.fixed.left-1/2.z-[999].w-[80%].-translate-x-1/2.sm:max-w-md.top-4.bottom-auto>
1	w-12	<svg.w-12.h-12.mx-auto.text-neutral-300.dark:text-neutral-600.mb-3>
1	w-16	<svg.w-16.h-16.text-neutral-300.dark:text-neutral-600.mb-4>
1	w-fit	<a.flex.items-center.gap-2.cursor-pointer.w-fit> "LogoipsumGo to homepage"
1	xl:grid-cols-3	<div.grid.grid-cols-2.lg:grid-cols-3.xl:grid-cols-3.gap-x-8.gap-y-12> "xcvvxv$25,458.00Premium Smartphone Xenon$540.00Elite Sound Earphones$340.00$345.00The Ultimate 256GB"
1	xl:grid-cols-5	<ul.m-0.grid.grid-cols-2.gap-3.md:gap-4.lg:gap-5.p-0.sm:grid-cols-3> "xcvvxv(0)$25,458.00Premium Smartphone Xenon(0)$540.00Elite Sound Earphones(0)$345.00The Ultimate 256"
1	xxs:grid-cols-2	<div.grid.md:hidden.gap-4.grid-cols-1.xxs:grid-cols-2.lg:max-h-[calc(100vh-200px)].sf-hidden>
1	z-[1]	<input.font-inherit.text-[100%].leading-[1.15].m-0.p-0.overflow-visible.box-border.absolute>
1	z-[999]	<div.fixed.left-1/2.z-[999].w-[80%].-translate-x-1/2.sm:max-w-md.top-4.bottom-auto>
1	z-40	<div.fixed.inset-0.z-40.bg-black/40.backdrop-blur-sm.transition-opacity.duration-300.ease-out>
